47131 :Obion, Tennessee
48145 :Falls, Texas
26151 :Sanilac, Michigan
1015 :Calhoun, Alabama
45003 :Aiken, South Carolina
23009 :Hancock, Maine
1017 :Chambers, Alabama
26153 :Schoolcraft, Michigan
48147 :Fannin, Texas
45005 :Allendale, South Carolina
23011 :Kennebec, Maine
23013 :Knox, Maine
48149 :Fayette, Texas
45007 :Anderson, South Carolina
1019 :Cherokee, Alabama
26155 :Shiawassee, Michigan
45009 :Bamberg, South Carolina
23015 :Lincoln, Maine
1021 :Chilton, Alabama
26157 :Tuscola, Michigan
48151 :Fisher, Texas
45011 :Barnwell, South Carolina
48153 :Floyd, Texas
23017 :Oxford, Maine
1023 :Choctaw, Alabama
26159 :Van Buren, Michigan
23019 :Penobscot, Maine
26161 :Washtenaw, Michigan
48155 :Foard, Texas
1025 :Clarke, Alabama
45013 :Beaufort, South Carolina
1027 :Clay, Alabama
48157 :Fort Bend, Texas
45015 :Berkeley, South Carolina
23021 :Piscataquis, Maine
26163 :Wayne, Michigan
26165 :Wexford, Michigan
45017 :Calhoun, South Carolina
23023 :Sagadahoc, Maine
48159 :Franklin, Texas
1029 :Cleburne, Alabama
23025 :Somerset, Maine
1031 :Coffee, Alabama
48161 :Freestone, Texas
45019 :Charleston, South Carolina
48163 :Frio, Texas
45021 :Cherokee, South Carolina
23027 :Waldo, Maine
1033 :Colbert, Alabama
1035 :Conecuh, Alabama
45023 :Chester, South Carolina
23029 :Washington, Maine
48165 :Gaines, Texas
1037 :Coosa, Alabama
45025 :Chesterfield, South Carolina
48167 :Galveston, Texas
23031 :York, Maine
1039 :Covington, Alabama
48169 :Garza, Texas
45027 :Clarendon, South Carolina
48171 :Gillespie, Texas
45029 :Colleton, South Carolina
1041 :Crenshaw, Alabama
45031 :Darlington, South Carolina
48173 :Glasscock, Texas
1043 :Cullman, Alabama
45033 :Dillon, South Carolina
48175 :Goliad, Texas
1045 :Dale, Alabama
48177 :Gonzales, Texas
45035 :Dorchester, South Carolina
1047 :Dallas, Alabama
1049 :De Kalb, Alabama
45037 :Edgefield, South Carolina
48179 :Gray, Texas
48181 :Grayson, Texas
1051 :Elmore, Alabama
45039 :Fairfield, South Carolina
1053 :Escambia, Alabama
45041 :Florence, South Carolina
48183 :Gregg, Texas
45043 :Georgetown, South Carolina
1055 :Etowah, Alabama
48185 :Grimes, Texas
45045 :Greenville, South Carolina
1057 :Fayette, Alabama
48187 :Guadalupe, Texas
48189 :Hale, Texas
45047 :Greenwood, South Carolina
1059 :Franklin, Alabama
1061 :Geneva, Alabama
48191 :Hall, Texas
45049 :Hampton, South Carolina
45051 :Horry, South Carolina
48193 :Hamilton, Texas
1063 :Greene, Alabama
48195 :Hansford, Texas
1065 :Hale, Alabama
45053 :Jasper, South Carolina
45055 :Kershaw, South Carolina
1067 :Henry, Alabama
48197 :Hardeman, Texas
48199 :Hardin, Texas
1069 :Houston, Alabama
45057 :Lancaster, South Carolina
45059 :Laurens, South Carolina
48201 :Harris, Texas
1071 :Jackson, Alabama
48203 :Harrison, Texas
45061 :Lee, South Carolina
1073 :Jefferson, Alabama
1075 :Lamar, Alabama
45063 :Lexington, South Carolina
48205 :Hartley, Texas
45065 :McCormick, South Carolina
48207 :Haskell, Texas
1077 :Lauderdale, Alabama
48209 :Hays, Texas
45067 :Marion, South Carolina
1079 :Lawrence, Alabama
1081 :Lee, Alabama
45069 :Marlboro, South Carolina
48211 :Hemphill, Texas
48213 :Henderson, Texas
45071 :Newberry, South Carolina
1083 :Limestone, Alabama
45073 :Oconee, South Carolina
1085 :Lowndes, Alabama
48215 :Hidalgo, Texas
1087 :Macon, Alabama
45075 :Orangeburg, South Carolina
48217 :Hill, Texas
1089 :Madison, Alabama
48219 :Hockley, Texas
45077 :Pickens, South Carolina
32510 :Carson City, Nevada
48221 :Hood, Texas
1091 :Marengo, Alabama
45079 :Richland, South Carolina
1093 :Marion, Alabama
48223 :Hopkins, Texas
45081 :Saluda, South Carolina
48225 :Houston, Texas
1095 :Marshall, Alabama
45083 :Spartanburg, South Carolina
45085 :Sumter, South Carolina
1097 :Mobile, Alabama
48227 :Howard, Texas
1099 :Monroe, Alabama
48229 :Hudspeth, Texas
45087 :Union, South Carolina
45089 :Williamsburg, South Carolina
1101 :Montgomery, Alabama
48231 :Hunt, Texas
48233 :Hutchinson, Texas
1103 :Morgan, Alabama
45091 :York, South Carolina
48235 :Irion, Texas
1105 :Perry, Alabama
1107 :Pickens, Alabama
48237 :Jack, Texas
1109 :Pike, Alabama
48239 :Jackson, Texas
48241 :Jasper, Texas
1111 :Randolph, Alabama
48243 :Jeff Davis, Texas
1113 :Russell, Alabama
48245 :Jefferson, Texas
1115 :St Clair, Alabama
1117 :Shelby, Alabama
48247 :Jim Hogg, Texas
48249 :Jim Wells, Texas
1119 :Sumter, Alabama
48251 :Johnson, Texas
1121 :Talladega, Alabama
48253 :Jones, Texas
1123 :Tallapoosa, Alabama
1125 :Tuscaloosa, Alabama
48255 :Karnes, Texas
1127 :Walker, Alabama
48257 :Kaufman, Texas
48259 :Kendall, Texas
1129 :Washington, Alabama
1131 :Wilcox, Alabama
48261 :Kenedy, Texas
48263 :Kent, Texas
1133 :Winston, Alabama
48265 :Kerr, Texas
48267 :Kimble, Texas
48269 :King, Texas
48271 :Kinney, Texas
48273 :Kleberg, Texas
48275 :Knox, Texas
48277 :Lamar, Texas
20001 :Allen, Kansas
48279 :Lamb, Texas
48281 :Lampasas, Texas
20003 :Anderson, Kansas
20005 :Atchison, Kansas
48283 :La Salle, Texas
42001 :Adams, Pennsylvania
48285 :Lavaca, Texas
20007 :Barber, Kansas
20009 :Barton, Kansas
48287 :Lee, Texas
42003 :Allegheny, Pennsylvania
48289 :Leon, Texas
20011 :Bourbon, Kansas
42005 :Armstrong, Pennsylvania
42007 :Beaver, Pennsylvania
48291 :Liberty, Texas
20013 :Brown, Kansas
48293 :Limestone, Texas
20015 :Butler, Kansas
42009 :Bedford, Pennsylvania
48295 :Lipscomb, Texas
42011 :Berks, Pennsylvania
20017 :Chase, Kansas
20019 :Chautauqua, Kansas
42013 :Blair, Pennsylvania
48297 :Live Oak, Texas
20021 :Cherokee, Kansas
48299 :Llano, Texas
42015 :Bradford, Pennsylvania
48301 :Loving, Texas
42017 :Bucks, Pennsylvania
20023 :Cheyenne, Kansas
48303 :Lubbock, Texas
42019 :Butler, Pennsylvania
20025 :Clark, Kansas
42021 :Cambria, Pennsylvania
20027 :Clay, Kansas
48305 :Lynn, Texas
42023 :Cameron, Pennsylvania
48307 :McCulloch, Texas
20029 :Cloud, Kansas
20031 :Coffey, Kansas
42025 :Carbon, Pennsylvania
48309 :McLennan, Texas
48311 :McMullen, Texas
42027 :Centre, Pennsylvania
20033 :Comanche, Kansas
42029 :Chester, Pennsylvania
48313 :Madison, Texas
20035 :Cowley, Kansas
42031 :Clarion, Pennsylvania
48315 :Marion, Texas
20037 :Crawford, Kansas
48317 :Martin, Texas
42033 :Clearfield, Pennsylvania
20039 :Decatur, Kansas
42035 :Clinton, Pennsylvania
48319 :Mason, Texas
20041 :Dickinson, Kansas
20043 :Doniphan, Kansas
48321 :Matagorda, Texas
42037 :Columbia, Pennsylvania
20045 :Douglas, Kansas
42039 :Crawford, Pennsylvania
48323 :Maverick, Texas
42041 :Cumberland, Pennsylvania
20047 :Edwards, Kansas
48325 :Medina, Texas
20049 :Elk, Kansas
42043 :Dauphin, Pennsylvania
48327 :Menard, Texas
48329 :Midland, Texas
20051 :Ellis, Kansas
42045 :Delaware, Pennsylvania
42047 :Elk, Pennsylvania
20053 :Ellsworth, Kansas
48331 :Milam, Texas
48333 :Mills, Texas
42049 :Erie, Pennsylvania
20055 :Finney, Kansas
42051 :Fayette, Pennsylvania
20057 :Ford, Kansas
48335 :Mitchell, Texas
42053 :Forest, Pennsylvania
20059 :Franklin, Kansas
48337 :Montague, Texas
48339 :Montgomery, Texas
42055 :Franklin, Pennsylvania
20061 :Geary, Kansas
48341 :Moore, Texas
20063 :Gove, Kansas
42057 :Fulton, Pennsylvania
20065 :Graham, Kansas
48343 :Morris, Texas
42059 :Greene, Pennsylvania
48345 :Motley, Texas
20067 :Grant, Kansas
42061 :Huntingdon, Pennsylvania
42063 :Indiana, Pennsylvania
48347 :Nacogdoches, Texas
20069 :Gray, Kansas
48349 :Navarro, Texas
42065 :Jefferson, Pennsylvania
20071 :Greeley, Kansas
42067 :Juniata, Pennsylvania
20073 :Greenwood, Kansas
48351 :Newton, Texas
42069 :Lackawanna, Pennsylvania
20075 :Hamilton, Kansas
48353 :Nolan, Texas
48355 :Nueces, Texas
42071 :Lancaster, Pennsylvania
20077 :Harper, Kansas
20079 :Harvey, Kansas
42073 :Lawrence, Pennsylvania
48357 :Ochiltree, Texas
42075 :Lebanon, Pennsylvania
48359 :Oldham, Texas
20081 :Haskell, Kansas
20083 :Hodgeman, Kansas
48361 :Orange, Texas
42077 :Lehigh, Pennsylvania
29510 :St Louis City, Missouri
42079 :Luzerne, Pennsylvania
20085 :Jackson, Kansas
48363 :Palo Pinto, Texas
48365 :Panola, Texas
20087 :Jefferson, Kansas
42081 :Lycoming, Pennsylvania
42083 :McKean, Pennsylvania
48367 :Parker, Texas
20089 :Jewell, Kansas
51510 :Alexandria City, Virginia
20091 :Johnson, Kansas
48369 :Parmer, Texas
42085 :Mercer, Pennsylvania
48371 :Pecos, Texas
20093 :Kearny, Kansas
42087 :Mifflin, Pennsylvania
48373 :Polk, Texas
51515 :Bedford City, Virginia
20095 :Kingman, Kansas
42089 :Monroe, Pennsylvania
48375 :Potter, Texas
20097 :Kiowa, Kansas
42091 :Montgomery, Pennsylvania
42093 :Montour, Pennsylvania
20099 :Labette, Kansas
48377 :Presidio, Texas
51520 :Bristol City, Virginia
20101 :Lane, Kansas
42095 :Northampton, Pennsylvania
48379 :Rains, Texas
20103 :Leavenworth, Kansas
48381 :Randall, Texas
42097 :Northumberland, Pennsylvania
42099 :Perry, Pennsylvania
48383 :Reagan, Texas
20105 :Lincoln, Kansas
42101 :Philadelphia, Pennsylvania
48385 :Real, Texas
20107 :Linn, Kansas
48387 :Red River, Texas
42103 :Pike, Pennsylvania
20109 :Logan, Kansas
51530 :Buena Vista City, Virginia
20111 :Lyon, Kansas
48389 :Reeves, Texas
42105 :Potter, Pennsylvania
20113 :McPherson, Kansas
42107 :Schuylkill, Pennsylvania
48391 :Refugio, Texas
42109 :Snyder, Pennsylvania
20115 :Marion, Kansas
48393 :Roberts, Texas
48395 :Robertson, Texas
42111 :Somerset, Pennsylvania
20117 :Marshall, Kansas
42113 :Sullivan, Pennsylvania
20119 :Meade, Kansas
48397 :Rockwall, Texas
51540 :Charlottesville City, Virginia
42115 :Susquehanna, Pennsylvania
48399 :Runnels, Texas
20121 :Miami, Kansas
42117 :Tioga, Pennsylvania
48401 :Rusk, Texas
20123 :Mitchell, Kansas
48403 :Sabine, Texas
42119 :Union, Pennsylvania
20125 :Montgomery, Kansas
20127 :Morris, Kansas
42121 :Venango, Pennsylvania
48405 :San Augustine, Texas
42123 :Warren, Pennsylvania
20129 :Morton, Kansas
48407 :San Jacinto, Texas
51550 :Chesapeake City, Virginia
42125 :Washington, Pennsylvania
48409 :San Patricio, Texas
20131 :Nemaha, Kansas
20133 :Neosho, Kansas
48411 :San Saba, Texas
42127 :Wayne, Pennsylvania
48413 :Schleicher, Texas
42129 :Westmoreland, Pennsylvania
20135 :Ness, Kansas
20137 :Norton, Kansas
42131 :Wyoming, Pennsylvania
48415 :Scurry, Texas
20139 :Osage, Kansas
48417 :Shackelford, Texas
42133 :York, Pennsylvania
51560 :Clifton Forge City, Virginia
48419 :Shelby, Texas
20141 :Osborne, Kansas
48421 :Sherman, Texas
20143 :Ottawa, Kansas
17001 :Adams, Illinois
48423 :Smith, Texas
17003 :Alexander, Illinois
20145 :Pawnee, Kansas
48425 :Somervell, Texas
17005 :Bond, Illinois
20147 :Phillips, Kansas
20149 :Pottawatomie, Kansas
48427 :Starr, Texas
17007 :Boone, Illinois
39001 :Adams, Ohio
51570 :Colonial Heights City, Virginia
39003 :Allen, Ohio
20151 :Pratt, Kansas
17009 :Brown, Illinois
48429 :Stephens, Texas
20153 :Rawlins, Kansas
39005 :Ashland, Ohio
17011 :Bureau, Illinois
48431 :Sterling, Texas
20155 :Reno, Kansas
48433 :Stonewall, Texas
39007 :Ashtabula, Ohio
17013 :Calhoun, Illinois
17015 :Carroll, Illinois
39009 :Athens, Ohio
20157 :Republic, Kansas
48435 :Sutton, Texas
17017 :Cass, Illinois
20159 :Rice, Kansas
39011 :Auglaize, Ohio
48437 :Swisher, Texas
51580 :Covington City, Virginia
17019 :Champaign, Illinois
48439 :Tarrant, Texas
39013 :Belmont, Ohio
20161 :Riley, Kansas
20163 :Rooks, Kansas
39015 :Brown, Ohio
48441 :Taylor, Texas
17021 :Christian, Illinois
17023 :Clark, Illinois
20165 :Rush, Kansas
48443 :Terrell, Texas
39017 :Butler, Ohio
20167 :Russell, Kansas
48445 :Terry, Texas
17025 :Clay, Illinois
39019 :Carroll, Ohio
17027 :Clinton, Illinois
48447 :Throckmorton, Texas
39021 :Champaign, Ohio
20169 :Saline, Kansas
51590 :Danville City, Virginia
17029 :Coles, Illinois
39023 :Clark, Ohio
20171 :Scott, Kansas
48449 :Titus, Texas
39025 :Clermont, Ohio
17031 :Cook, Illinois
48451 :Tom Green, Texas
20173 :Sedgwick, Kansas
48453 :Travis, Texas
20175 :Seward, Kansas
39027 :Clinton, Ohio
17033 :Crawford, Illinois
51595 :Emporia City, Virginia
17035 :Cumberland, Illinois
20177 :Shawnee, Kansas
39029 :Columbiana, Ohio
48455 :Trinity, Texas
39031 :Coshocton, Ohio
20179 :Sheridan, Kansas
48457 :Tyler, Texas
17037 :De Kalb, Illinois
51600 :Fairfax City, Virginia
39033 :Crawford, Ohio
48459 :Upshur, Texas
17039 :Dewitt, Illinois
20181 :Sherman, Kansas
17041 :Douglas, Illinois
48461 :Upton, Texas
20183 :Smith, Kansas
39035 :Cuyahoga, Ohio
39037 :Darke, Ohio
48463 :Uvalde, Texas
17043 :Du Page, Illinois
20185 :Stafford, Kansas
39039 :Defiance, Ohio
48465 :Val Verde, Texas
17045 :Edgar, Illinois
20187 :Stanton, Kansas
20189 :Stevens, Kansas
39041 :Delaware, Ohio
48467 :Van Zandt, Texas
17047 :Edwards, Illinois
51610 :Falls Church City, Virginia
17049 :Effingham, Illinois
48469 :Victoria, Texas
20191 :Sumner, Kansas
39043 :Erie, Ohio
20193 :Thomas, Kansas
17051 :Fayette, Illinois
39045 :Fairfield, Ohio
48471 :Walker, Texas
20195 :Trego, Kansas
39047 :Fayette, Ohio
48473 :Waller, Texas
17053 :Ford, Illinois
20197 :Wabaunsee, Kansas
48475 :Ward, Texas
17055 :Franklin, Illinois
39049 :Franklin, Ohio
20199 :Wallace, Kansas
17057 :Fulton, Illinois
39051 :Fulton, Ohio
48477 :Washington, Texas
51620 :Franklin City, Virginia
17059 :Gallatin, Illinois
48479 :Webb, Texas
20201 :Washington, Kansas
39053 :Gallia, Ohio
48481 :Wharton, Texas
17061 :Greene, Illinois
39055 :Geauga, Ohio
20203 :Wichita, Kansas
17063 :Grundy, Illinois
48483 :Wheeler, Texas
20205 :Wilson, Kansas
39057 :Greene, Ohio
17065 :Hamilton, Illinois
39059 :Guernsey, Ohio
20207 :Woodson, Kansas
48485 :Wichita, Texas
39061 :Hamilton, Ohio
20209 :Wyandotte, Kansas
17067 :Hancock, Illinois
48487 :Wilbarger, Texas
51630 :Fredericksburg City, Virginia
17069 :Hardin, Illinois
39063 :Hancock, Ohio
48489 :Willacy, Texas
39065 :Hardin, Ohio
48491 :Williamson, Texas
17071 :Henderson, Illinois
17073 :Henry, Illinois
39067 :Harrison, Ohio
48493 :Wilson, Texas
17075 :Iroquois, Illinois
39069 :Henry, Ohio
48495 :Winkler, Texas
17077 :Jackson, Illinois
39071 :Highland, Ohio
48497 :Wise, Texas
51640 :Galax City, Virginia
17079 :Jasper, Illinois
39073 :Hocking, Ohio
48499 :Wood, Texas
48501 :Yoakum, Texas
17081 :Jefferson, Illinois
39075 :Holmes, Ohio
17083 :Jersey, Illinois
48503 :Young, Texas
39077 :Huron, Ohio
48505 :Zapata, Texas
39079 :Jackson, Ohio
17085 :Jo Daviess, Illinois
39081 :Jefferson, Ohio
17087 :Johnson, Illinois
48507 :Zavala, Texas
51650 :Hampton City, Virginia
39083 :Knox, Ohio
17089 :Kane, Illinois
39085 :Lake, Ohio
17091 :Kankakee, Illinois
39087 :Lawrence, Ohio
17093 :Kendall, Illinois
39089 :Licking, Ohio
17095 :Knox, Illinois
17097 :Lake, Illinois
39091 :Logan, Ohio
51660 :Harrisonburg City, Virginia
17099 :La Salle, Illinois
39093 :Lorain, Ohio
17101 :Lawrence, Illinois
39095 :Lucas, Ohio
39097 :Madison, Ohio
17103 :Lee, Illinois
17105 :Livingston, Illinois
39099 :Mahoning, Ohio
39101 :Marion, Ohio
17107 :Logan, Illinois
51670 :Hopewell City, Virginia
39103 :Medina, Ohio
17109 :McDonough, Illinois
17111 :McHenry, Illinois
39105 :Meigs, Ohio
39107 :Mercer, Ohio
17113 :Mclean, Illinois
39109 :Miami, Ohio
17115 :Macon, Illinois
51678 :Lexington City, Virginia
39111 :Monroe, Ohio
17117 :Macoupin, Illinois
51680 :Lynchburg City, Virginia
39113 :Montgomery, Ohio
17119 :Madison, Illinois
39115 :Morgan, Ohio
17121 :Marion, Illinois
51683 :Manassas City, Virginia
17123 :Marshall, Illinois
39117 :Morrow, Ohio
51685 :Manassas Park City, Virginia
39119 :Muskingum, Ohio
17125 :Mason, Illinois
39121 :Noble, Ohio
17127 :Massac, Illinois
51690 :Martinsville City, Virginia
39123 :Ottawa, Ohio
17129 :Menard, Illinois
17131 :Mercer, Illinois
39125 :Paulding, Ohio
39127 :Perry, Ohio
17133 :Monroe, Illinois
39129 :Pickaway, Ohio
17135 :Montgomery, Illinois
39131 :Pike, Ohio
17137 :Morgan, Illinois
51700 :Newport News City, Virginia
17139 :Moultrie, Illinois
39133 :Portage, Ohio
17141 :Ogle, Illinois
39135 :Preble, Ohio
39137 :Putnam, Ohio
17143 :Peoria, Illinois
17145 :Perry, Illinois
39139 :Richland, Ohio
17147 :Piatt, Illinois
39141 :Ross, Ohio
51710 :Norfolk City, Virginia
39143 :Sandusky, Ohio
17149 :Pike, Illinois
36001 :Albany, New York
17151 :Pope, Illinois
39145 :Scioto, Ohio
36003 :Allegany, New York
39147 :Seneca, Ohio
17153 :Pulaski, Illinois
36005 :Bronx, New York
17155 :Putnam, Illinois
36007 :Broome, New York
39149 :Shelby, Ohio
17157 :Randolph, Illinois
36009 :Cattaraugus, New York
39151 :Stark, Ohio
51720 :Norton City, Virginia
17159 :Richland, Illinois
39153 :Summit, Ohio
36011 :Cayuga, New York
36013 :Chautauqua, New York
39155 :Trumbull, Ohio
17161 :Rock Island, Illinois
17163 :St Clair, Illinois
39157 :Tuscarawas, Ohio
36015 :Chemung, New York
36017 :Chenango, New York
17165 :Saline, Illinois
39159 :Union, Ohio
17167 :Sangamon, Illinois
39161 :Van Wert, Ohio
36019 :Clinton, New York
51730 :Petersburg City, Virginia
39163 :Vinton, Ohio
36021 :Columbia, New York
17169 :Schuyler, Illinois
39165 :Warren, Ohio
36023 :Cortland, New York
17171 :Scott, Illinois
39167 :Washington, Ohio
51735 :Poquoson City, Virginia
36025 :Delaware, New York
17173 :Shelby, Illinois
36027 :Dutchess, New York
17175 :Stark, Illinois
39169 :Wayne, Ohio
39171 :Williams, Ohio
17177 :Stephenson, Illinois
36029 :Erie, New York
51740 :Portsmouth City, Virginia
17179 :Tazewell, Illinois
39173 :Wood, Ohio
36031 :Essex, New York
17181 :Union, Illinois
39175 :Wyandot, Ohio
36033 :Franklin, New York
17183 :Vermilion, Illinois
36035 :Fulton, New York
17185 :Wabash, Illinois
36037 :Genesee, New York
17187 :Warren, Illinois
36039 :Greene, New York
51750 :Radford, Virginia
17189 :Washington, Illinois
36041 :Hamilton, New York
17191 :Wayne, Illinois
36043 :Herkimer, New York
36045 :Jefferson, New York
17193 :White, Illinois
36047 :Kings, New York
17195 :Whiteside, Illinois
36049 :Lewis, New York
17197 :Will, Illinois
51760 :Richmond City, Virginia
17199 :Williamson, Illinois
36051 :Livingston, New York
17201 :Winnebago, Illinois
36053 :Madison, New York
36055 :Monroe, New York
17203 :Woodford, Illinois
36057 :Montgomery, New York
36059 :Nassau, New York
51770 :Roanoke City, Virginia
36061 :New York, New York
36063 :Niagara, New York
36065 :Oneida, New York
51775 :Salem City, Virginia
36067 :Onondaga, New York
36069 :Ontario, New York
51780 :South Boston City, Virginia
36071 :Orange, New York
36073 :Orleans, New York
36075 :Oswego, New York
36077 :Otsego, New York
36079 :Putnam, New York
51790 :Staunton City, Virginia
36081 :Queens, New York
36083 :Rensselaer, New York
36085 :Richmond, New York
36087 :Rockland, New York
36089 :St Lawrence, New York
51800 :Suffolk City, Virginia
36091 :Saratoga, New York
36093 :Schenectady, New York
36095 :Schoharie, New York
36097 :Schuyler, New York
36099 :Seneca, New York
51810 :Virginia Beach City, Virginia
36101 :Steuben, New York
36103 :Suffolk, New York
36105 :Sullivan, New York
36107 :Tioga, New York
36109 :Tompkins, New York
51820 :Waynesboro City, Virginia
36111 :Ulster, New York
36113 :Warren, New York
36115 :Washington, New York
36117 :Wayne, New York
36119 :Westchester, New York
51830 :Williamsburg City, Virginia
36121 :Wyoming, New York
36123 :Yates, New York
51840 :Winchester City, Virginia
11001 :District of Columbia, District of Columbia
33001 :Belknap, New Hampshire
33003 :Carroll, New Hampshire
33005 :Cheshire, New Hampshire
55001 :Adams, Wisconsin
33007 :Coos, New Hampshire
33009 :Grafton, New Hampshire
55003 :Ashland, Wisconsin
33011 :Hillsborough, New Hampshire
55005 :Barron, Wisconsin
33013 :Merrimack, New Hampshire
55007 :Bayfield, Wisconsin
33015 :Rockingham, New Hampshire
55009 :Brown, Wisconsin
55011 :Buffalo, Wisconsin
33017 :Strafford, New Hampshire
55013 :Burnett, Wisconsin
33019 :Sullivan, New Hampshire
55015 :Calumet, Wisconsin
55017 :Chippewa, Wisconsin
55019 :Clark, Wisconsin
11031 :Montgomery, District of Columbia
55021 :Columbia, Wisconsin
55023 :Crawford, Wisconsin
55025 :Dane, Wisconsin
55027 :Dodge, Wisconsin
55029 :Door, Wisconsin
55031 :Douglas, Wisconsin
55033 :Dunn, Wisconsin
55035 :Eau Claire, Wisconsin
55037 :Florence, Wisconsin
55039 :Fond Du Lac, Wisconsin
55041 :Forest, Wisconsin
55043 :Grant, Wisconsin
55045 :Green, Wisconsin
55047 :Green Lake, Wisconsin
55049 :Iowa, Wisconsin
55051 :Iron, Wisconsin
55053 :Jackson, Wisconsin
55055 :Jefferson, Wisconsin
55057 :Juneau, Wisconsin
55059 :Kenosha, Wisconsin
55061 :Kewaunee, Wisconsin
55063 :La Crosse, Wisconsin
55065 :Lafayette, Wisconsin
55067 :Langlade, Wisconsin
55069 :Lincoln, Wisconsin
55071 :Manitowoc, Wisconsin
55073 :Marathon, Wisconsin
55075 :Marinette, Wisconsin
55077 :Marquette, Wisconsin
55078 :Menominee, Wisconsin
55079 :Milwaukee, Wisconsin
55081 :Monroe, Wisconsin
55083 :Oconto, Wisconsin
55085 :Oneida, Wisconsin
55087 :Outagamie, Wisconsin
55089 :Ozaukee, Wisconsin
55091 :Pepin, Wisconsin
55093 :Pierce, Wisconsin
55095 :Polk, Wisconsin
55097 :Portage, Wisconsin
55099 :Price, Wisconsin
55101 :Racine, Wisconsin
55103 :Richland, Wisconsin
55105 :Rock, Wisconsin
55107 :Rusk, Wisconsin
55109 :St Croix, Wisconsin
55111 :Sauk, Wisconsin
55113 :Sawyer, Wisconsin
55115 :Shawano, Wisconsin
55117 :Sheboygan, Wisconsin
55119 :Taylor, Wisconsin
55121 :Trempealeau, Wisconsin
55123 :Vernon, Wisconsin
55125 :Vilas, Wisconsin
55127 :Walworth, Wisconsin
55129 :Washburn, Wisconsin
55131 :Washington, Wisconsin
8001 :Adams, Colorado
55133 :Waukesha, Wisconsin
8003 :Alamosa, Colorado
55135 :Waupaca, Wisconsin
8005 :Arapahoe, Colorado
30001 :Beaverhead, Montana
8007 :Archuleta, Colorado
55137 :Waushara, Wisconsin
55139 :Winnebago, Wisconsin
30003 :Big Horn, Montana
8009 :Baca, Colorado
8011 :Bent, Colorado
55141 :Wood, Wisconsin
30005 :Blaine, Montana
30007 :Broadwater, Montana
8013 :Boulder, Colorado
8014 :Broomfield, Colorado
8015 :Chaffee, Colorado
30009 :Carbon, Montana
8017 :Cheyenne, Colorado
30011 :Carter, Montana
30013 :Cascade, Montana
8019 :Clear Creek, Colorado
30015 :Chouteau, Montana
8021 :Conejos, Colorado
30017 :Custer, Montana
8023 :Costilla, Colorado
8025 :Crowley, Colorado
30019 :Daniels, Montana
8027 :Custer, Colorado
30021 :Dawson, Montana
8029 :Delta, Colorado
30023 :Deer Lodge, Montana
8031 :Denver, Colorado
30025 :Fallon, Montana
8033 :Dolores, Colorado
30027 :Fergus, Montana
30029 :Flathead, Montana
8035 :Douglas, Colorado
30031 :Gallatin, Montana
8037 :Eagle, Colorado
30033 :Garfield, Montana
8039 :Elbert, Colorado
30035 :Glacier, Montana
8041 :El Paso, Colorado
30037 :Golden Valley, Montana
8043 :Fremont, Colorado
8045 :Garfield, Colorado
30039 :Granite, Montana
8047 :Gilpin, Colorado
30041 :Hill, Montana
8049 :Grand, Colorado
30043 :Jefferson, Montana
8051 :Gunnison, Colorado
30045 :Judith Basin, Montana
8053 :Hinsdale, Colorado
30047 :Lake, Montana
30049 :Lewis and Clark, Montana
8055 :Huerfano, Colorado
30051 :Liberty, Montana
8057 :Jackson, Colorado
30053 :Lincoln, Montana
8059 :Jefferson, Colorado
8061 :Kiowa, Colorado
30055 :McCone, Montana
8063 :Kit Carson, Colorado
30057 :Madison, Montana
8065 :Lake, Colorado
30059 :Meagher, Montana
8067 :La Plata, Colorado
30061 :Mineral, Montana
30063 :Missoula, Montana
8069 :Larimer, Colorado
30065 :Musselshell, Montana
8071 :Las Animas, Colorado
8073 :Lincoln, Colorado
30067 :Park, Montana
30069 :Petroleum, Montana
8075 :Logan, Colorado
30071 :Phillips, Montana
8077 :Mesa, Colorado
8079 :Mineral, Colorado
30073 :Pondera, Montana
30075 :Powder River, Montana
8081 :Moffat, Colorado
8083 :Montezuma, Colorado
30077 :Powell, Montana
30079 :Prairie, Montana
8085 :Montrose, Colorado
8087 :Morgan, Colorado
30081 :Ravalli, Montana
30083 :Richland, Montana
8089 :Otero, Colorado
30085 :Roosevelt, Montana
8091 :Ouray, Colorado
8093 :Park, Colorado
30087 :Rosebud, Montana
8095 :Phillips, Colorado
30089 :Sanders, Montana
30091 :Sheridan, Montana
8097 :Pitkin, Colorado
30093 :Silver Bow, Montana
8099 :Prowers, Colorado
30095 :Stillwater, Montana
8101 :Pueblo, Colorado
8103 :Rio Blanco, Colorado
30097 :Sweet Grass, Montana
8105 :Rio Grande, Colorado
30099 :Teton, Montana
8107 :Routt, Colorado
30101 :Toole, Montana
8109 :Saguache, Colorado
30103 :Treasure, Montana
30105 :Valley, Montana
8111 :San Juan, Colorado
30107 :Wheatland, Montana
8113 :San Miguel, Colorado
30109 :Wibaux, Montana
8115 :Sedgwick, Colorado
30111 :Yellowstone, Montana
8117 :Summit, Colorado
8119 :Teller, Colorado
8121 :Washington, Colorado
8123 :Weld, Colorado
8125 :Yuma, Colorado
5001 :Arkansas, Arkansas
5003 :Ashley, Arkansas
5005 :Baxter, Arkansas
27001 :Aitkin, Minnesota
5007 :Benton, Arkansas
27003 :Anoka, Minnesota
